,cc,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,Cons,BokoHaram,is_urban
0,458345,4968150,566,NIG2314,2314,11/06/2009,39975,2009,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Friedrich Ebert Stiftung; Naij.com,International,"A detachment of a joint police and military anti-robbery squad (""Operation Flush"") intercepted a group of members of the Boko Haram sect militia riding motorbikes during a funeral procession for not wearing crash helmets, leading to an argument between the two groups and to the fatal shooting of 17 of the Boko Haram members by one of the security officers. This event is thought to have triggered a large wave of anti-government uprisings the following month.",17,1552577626,NGA,123739,1,True
1,457886,4967691,566,NIG2347,2347,26/07/2009,40020,2009,1,Violence against civilians,Abduction/forced disappearance,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Bauchi,Bauchi,,Bauchi,10.3134,9.8433,1,Dow Jones International News,International,Islamic militia kidnaps women and children from Bauchi,0,1552577625,NGA,123320,1,True
2,457887,4967678,566,NIG2348,2348,26/07/2009,40020,2009,1,Battles,Armed clash,Police Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Bauchi,Bauchi,,Bauchi,10.3134,9.8433,1,All Africa; Friedrich Ebert Stiftung,Regional,"Members of the Boko Haram sect militia attacked and destroyed the Dutsen Tanshi police station in Bauchi in retaliation for the killing of 17 of its members on 11 June by security forces in Maiduguri. This attack is thought to have sparked off a wave of unrest, which swept through Bauchi, Borno, Kano, Katsina and Yobe states until at least 30 July, when Boko Harams leader was captured and later killed by police.",0,1552577625,NGA,123321,1,True
3,457863,4967666,566,NIG2356,2356,27/07/2009,40021,2009,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),Christian Group (Nigeria),7,37,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,All Africa,Regional,Islamic militia burns churches,0,1552577625,NGA,123299,1,True
4,457865,4967670,566,NIG2360,2360,27/07/2009,40021,2009,1,Battles,Armed clash,Police Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Yobe,Potiskum,Bolewa A,Potiskum,11.7091,11.0694,1,All Africa,Regional,Islamic militia attacks and burns police station,0,1552577625,NGA,123301,1,True
5,457869,4967665,566,NIG2350,2350,27/07/2009,40021,2009,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Reuters News; Friedrich Ebert Stiftung,International,"Uprising by radical Islamic militia causes clashes with police and military; 800 people were killed over four days of fighting in Maiduguri, and hundreds more were arrested. On the fourth day, the leader of the group, Mohammed Yusuf, was captured by security forces at his home in Maiduguri, and later killed in custody. Boko Haram quickly appointed a new leader, changed tactics and became even more violent.",200,1552577625,NGA,123305,1,True
6,457870,4967667,566,NIG2353,2353,27/07/2009,40021,2009,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Yobe,Nangere,Nangere,Nangere,11.864,11.0698,2,All Africa,Regional,Fighting between Islamic militants and police and military,0,1552577625,NGA,123306,1,False
7,457871,4967664,566,NIG2352,2352,27/07/2009,40021,2009,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Gombe,Gombe,,Gombe,10.2897,11.1673,2,All Africa,Regional,Islamic militia attacks police and military in Gombe State,0,1552577625,NGA,123307,1,True
8,457872,4967652,566,NIG2354,2354,27/07/2009,40021,2009,1,Battles,Armed clash,Police Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Yobe,Damaturu,Damaturu Central,Damaturu,11.747,11.9608,1,All Africa,Regional,Islamic militia attacks police station,0,1552577625,NGA,123308,1,True
9,457873,4967653,566,NIG2351,2351,27/07/2009,40021,2009,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Ngala,Ngala,Gamboru,12.373,14.2069,1,All Africa,Regional,Violence spreads as Islamic militia continues attacks on police and military,0,1552577625,NGA,123309,1,True
10,457874,4967668,566,NIG2355,2355,27/07/2009,40021,2009,1,Battles,Armed clash,Police Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Kano,Wudil,,Wudil,11.8107,8.8451,1,All Africa,Regional,Islamic militia attacks police station,0,1552577625,NGA,123310,1,True
12,457842,4967643,566,NIG2361,2361,28/07/2009,40022,2009,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Reuters News; Friedrich Ebert Stiftung,International,"Uprising by radical Islamic militia causes clashes with police and military; 800 people were killed over four days of fighting in Maiduguri, and hundreds more were arrested. On the fourth day, the leader of the group, Mohammed Yusuf, was captured by security forces at his home in Maiduguri, and later killed in custody. Boko Haram quickly appointed a new leader, changed tactics and became even more violent.",200,1552577625,NGA,123280,1,True
